employmentStatus,jobTitle,max,mean,min,payPeriod,company_name,totalJobTitlesCount,careerOpportunitiesRating,compensationAndBenefitsRating,cultureAndValuesRating,industryName,isEEP,numberOfRatings,overallRating,ratingDescription,recommendToFriendRating,sectorName,seniorLeadershipRating,workLifeBalanceRating,review_URL,review_ID,review_currentJob,review_DateTime,review_jobTitle,review_location,review_pros,review_cons,review_overall,ceo_name,ceo_title,ceo_numberOfRatings,ceo_approval_rate,ceo_Photo_URL,parentEmployer_name,parentEmployer_ID,parentEmployer_logoURL
REGULAR,Consultant,182407.39,148218.19,54413.3,ANNUAL,Bain & Company,216,4.7,4.6,4.7,Consulting,True,2923,4.6,Very Satisfied,94,Business Services,4.5,3.7,https://www.glassdoor.com/Reviews/Employee-Review-Bain-and-Company-RVW8190414.htm,8190414.0,True,2015-10-05 18:18:43.377,Manager,"Chicago, IL","Welcome to Bain.  I'm going to give you a problem that neither the CEO nor his entire management team could solve.  And I'm probably going to give you lots of different opinions and imperfect data sources.  And then I'll ask you to focus in on where the most value is and convince all those people with different opinions that you're right.  But don't worry, I'm also going to give you a Bain team.  Those associates and consultants are going to be tenacious in coming up with creative approaches.  Those managers and partners are going to knock down barriers for you, connect you where you need to be connected, guide, support, direct and re-direct you.  The office support staff is going to fix your computer after you spilled coffee on it for the third time, find you the unfindable data source, and smile and hand you a baked good after you ask for help re-doing dozens of slides.  You are empowered and accountable but you are not alone.  And the best part is you can't fail.  Because after all, what all those people are reinforcing is that a Bainie never lets another Bainie fail.","Here's how you know you've made it at Bain.  The reward for doing a good job is getting a bigger, tougher problem next time.  Meaning, you are always solving the easiest problem you will ever solve again.  This takes a lot of resilience and active managing of self-expectations to remember that you are not actually getting worse, the problems are just getting harder.  So my advice is to remember that.  And then take a second to realize that it would be a lot less fun if the reverse were true.  And isn't that precisely why you wanted this job in the first place anyway? It sure was for me.",5.0,Manny Maceda,Worldwide Managing Partner,580.0,99.0,https://media.glassdoor.com/people/sqll/3752/bain-and-company-ceo1560971115626.png,,,
REGULAR,Associate Consultant,103037.47,83295.85,64888.38,ANNUAL,Bain & Company,216,4.7,4.6,4.7,Consulting,True,2923,4.6,Very Satisfied,94,Business Services,4.5,3.7,https://www.glassdoor.com/Reviews/Employee-Review-Bain-and-Company-RVW8190414.htm,8190414.0,True,2015-10-05 18:18:43.377,Manager,"Chicago, IL","Welcome to Bain.  I'm going to give you a problem that neither the CEO nor his entire management team could solve.  And I'm probably going to give you lots of different opinions and imperfect data sources.  And then I'll ask you to focus in on where the most value is and convince all those people with different opinions that you're right.  But don't worry, I'm also going to give you a Bain team.  Those associates and consultants are going to be tenacious in coming up with creative approaches.  Those managers and partners are going to knock down barriers for you, connect you where you need to be connected, guide, support, direct and re-direct you.  The office support staff is going to fix your computer after you spilled coffee on it for the third time, find you the unfindable data source, and smile and hand you a baked good after you ask for help re-doing dozens of slides.  You are empowered and accountable but you are not alone.  And the best part is you can't fail.  Because after all, what all those people are reinforcing is that a Bainie never lets another Bainie fail.","Here's how you know you've made it at Bain.  The reward for doing a good job is getting a bigger, tougher problem next time.  Meaning, you are always solving the easiest problem you will ever solve again.  This takes a lot of resilience and active managing of self-expectations to remember that you are not actually getting worse, the problems are just getting harder.  So my advice is to remember that.  And then take a second to realize that it would be a lot less fun if the reverse were true.  And isn't that precisely why you wanted this job in the first place anyway? It sure was for me.",5.0,Manny Maceda,Worldwide Managing Partner,580.0,99.0,https://media.glassdoor.com/people/sqll/3752/bain-and-company-ceo1560971115626.png,,,
REGULAR,Senior Associate Consultant,143506.38,102476.46,82534.0,ANNUAL,Bain & Company,216,4.7,4.6,4.7,Consulting,True,2923,4.6,Very Satisfied,94,Business Services,4.5,3.7,https://www.glassdoor.com/Reviews/Employee-Review-Bain-and-Company-RVW8190414.htm,8190414.0,True,2015-10-05 18:18:43.377,Manager,"Chicago, IL","Welcome to Bain.  I'm going to give you a problem that neither the CEO nor his entire management team could solve.  And I'm probably going to give you lots of different opinions and imperfect data sources.  And then I'll ask you to focus in on where the most value is and convince all those people with different opinions that you're right.  But don't worry, I'm also going to give you a Bain team.  Those associates and consultants are going to be tenacious in coming up with creative approaches.  Those managers and partners are going to knock down barriers for you, connect you where you need to be connected, guide, support, direct and re-direct you.  The office support staff is going to fix your computer after you spilled coffee on it for the third time, find you the unfindable data source, and smile and hand you a baked good after you ask for help re-doing dozens of slides.  You are empowered and accountable but you are not alone.  And the best part is you can't fail.  Because after all, what all those people are reinforcing is that a Bainie never lets another Bainie fail.","Here's how you know you've made it at Bain.  The reward for doing a good job is getting a bigger, tougher problem next time.  Meaning, you are always solving the easiest problem you will ever solve again.  This takes a lot of resilience and active managing of self-expectations to remember that you are not actually getting worse, the problems are just getting harder.  So my advice is to remember that.  And then take a second to realize that it would be a lot less fun if the reverse were true.  And isn't that precisely why you wanted this job in the first place anyway? It sure was for me.",5.0,Manny Maceda,Worldwide Managing Partner,580.0,99.0,https://media.glassdoor.com/people/sqll/3752/bain-and-company-ceo1560971115626.png,,,
REGULAR,Associate,190368.27,130084.97,99817.76,ANNUAL,Bain Capital,53,4.0,4.4,4.0,Investment Banking & Asset Management,False,92,4.1,Very Satisfied,85,Finance,4.2,3.5,https://www.glassdoor.com/Reviews/Employee-Review-Bain-Capital-RVW30469344.htm,30469344.0,False,2019-11-19 17:21:07.073,Vice President,"Boston, MA",Very thoughtful and collegial environment,There are some people who are not pulling their weight.,5.0,Jonathan Lavine and John Connaughton,Co-Managing Partners,25.0,99.0,,,,
REGULAR,Senior Associate,184534.59,166733.3,124579.11,ANNUAL,Bain Capital,53,4.0,4.4,4.0,Investment Banking & Asset Management,False,92,4.1,Very Satisfied,85,Finance,4.2,3.5,https://www.glassdoor.com/Reviews/Employee-Review-Bain-Capital-RVW30469344.htm,30469344.0,False,2019-11-19 17:21:07.073,Vice President,"Boston, MA",Very thoughtful and collegial environment,There are some people who are not pulling their weight.,5.0,Jonathan Lavine and John Connaughton,Co-Managing Partners,25.0,99.0,,,,
REGULAR,Finance Associate,89580.8,71774.84,58446.23,ANNUAL,Bain Capital,53,4.0,4.4,4.0,Investment Banking & Asset Management,False,92,4.1,Very Satisfied,85,Finance,4.2,3.5,https://www.glassdoor.com/Reviews/Employee-Review-Bain-Capital-RVW30469344.htm,30469344.0,False,2019-11-19 17:21:07.073,Vice President,"Boston, MA",Very thoughtful and collegial environment,There are some people who are not pulling their weight.,5.0,Jonathan Lavine and John Connaughton,Co-Managing Partners,25.0,99.0,,,,
REGULAR,Sales Consultant,92314.94,54942.27,0.0,ANNUAL,Bath Fitter,86,4.3,4.2,4.4,Other Retail Stores,True,322,4.4,Very Satisfied,89,Retail,4.3,4.0,https://www.glassdoor.com/Reviews/Employee-Review-Bath-Fitter-RVW30361481.htm,30361481.0,True,2019-11-13 10:54:45.877,Commercial Sales Consultant,"Sacramento, CA","Strongest team environment I’ve ever had the pleasure of being part of , massive amounts of support and best of all the product we offer are amazing!",The occasional bad seed but there is always one or a few in each company,5.0,Glenn Cotton,President,109.0,94.0,https://media.glassdoor.com/people/sqll/147915/bath-fitter-ceo1547626595937.png,,,
REGULAR,Installer,86652.22,70999.87,50276.33,ANNUAL,Bath Fitter,86,4.3,4.2,4.4,Other Retail Stores,True,322,4.4,Very Satisfied,89,Retail,4.3,4.0,https://www.glassdoor.com/Reviews/Employee-Review-Bath-Fitter-RVW30361481.htm,30361481.0,True,2019-11-13 10:54:45.877,Commercial Sales Consultant,"Sacramento, CA","Strongest team environment I’ve ever had the pleasure of being part of , massive amounts of support and best of all the product we offer are amazing!",The occasional bad seed but there is always one or a few in each company,5.0,Glenn Cotton,President,109.0,94.0,https://media.glassdoor.com/people/sqll/147915/bath-fitter-ceo1547626595937.png,,,
REGULAR,Sales Representative,108371.24,49747.24,0.0,ANNUAL,Bath Fitter,86,4.3,4.2,4.4,Other Retail Stores,True,322,4.4,Very Satisfied,89,Retail,4.3,4.0,https://www.glassdoor.com/Reviews/Employee-Review-Bath-Fitter-RVW30361481.htm,30361481.0,True,2019-11-13 10:54:45.877,Commercial Sales Consultant,"Sacramento, CA","Strongest team environment I’ve ever had the pleasure of being part of , massive amounts of support and best of all the product we offer are amazing!",The occasional bad seed but there is always one or a few in each company,5.0,Glenn Cotton,President,109.0,94.0,https://media.glassdoor.com/people/sqll/147915/bath-fitter-ceo1547626595937.png,,,
REGULAR,Office Manager,60707.91,55613.21,52000.0,ANNUAL,Coldwell Banker Bain,13,3.6,3.0,3.8,Real Estate,False,30,3.8,Satisfied,74,Real Estate,3.8,3.1,https://www.glassdoor.com/Reviews/Employee-Review-Coldwell-Banker-Bain-RVW28937536.htm,28937536.0,False,2019-08-30 01:40:48.45,Real Estate Broker,"Vancouver, WA",Great management team.  Offers lots of support to ensure productivity and success of it's broker.,I felt pressured to do well.,5.0,Bill Riss,CEO & Owner,22.0,81.0,,,,
