,careerOpportunitiesRating,ceo,compensationAndBenefitsRating,cultureAndValuesRating,exactMatch,featuredReview,id,industry,industryId,industryName,isEEP,name,numberOfRatings,overallRating,parentEmployer,ratingDescription,recommendToFriendRating,sectorId,sectorName,seniorLeadershipRating,squareLogo,website,workLifeBalanceRating
0,4.7,"{'name': 'Manny Maceda', 'title': 'Worldwide Managing Partner', 'numberOfRatings': 580, 'pctApprove': 99, 'pctDisapprove': 1, 'image': {'src': 'https://media.glassdoor.com/people/sqll/3752/bain-and-company-ceo1560971115626.png', 'height': 200, 'width': 200}}",4.6,4.7,True,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Bain-and-Company-RVW8190414.htm', 'id': 8190414, 'currentJob': True, 'reviewDateTime': '2015-10-05 18:18:43.377', 'jobTitle': 'Manager', 'location': 'Chicago, IL', 'jobTitleFromDb': 'Manager', 'headline': 'Welcome to Bain', 'pros': ""Welcome to Bain.  I'm going to give you a problem that neither the CEO nor his entire management team could solve.  And I'm probably going to give you lots of different opinions and imperfect data sources.  And then I'll ask you to focus in on where the most value is and convince all those people with different opinions that you're right.  But don't worry, I'm also going to give you a Bain team.  Those associates and consultants are going to be tenacious in coming up with creative approaches.  Those managers and partners are going to knock down barriers for you, connect you where you need to be connected, guide, support, direct and re-direct you.  The office support staff is going to fix your computer after you spilled coffee on it for the third time, find you the unfindable data source, and smile and hand you a baked good after you ask for help re-doing dozens of slides.  You are empowered and accountable but you are not alone.  And the best part is you can't fail.  Because after all, what all those people are reinforcing is that a Bainie never lets another Bainie fail."", 'cons': ""Here's how you know you've made it at Bain.  The reward for doing a good job is getting a bigger, tougher problem next time.  Meaning, you are always solving the easiest problem you will ever solve again.  This takes a lot of resilience and active managing of self-expectations to remember that you are not actually getting worse, the problems are just getting harder.  So my advice is to remember that.  And then take a second to realize that it would be a lot less fun if the reverse were true.  And isn't that precisely why you wanted this job in the first place anyway? It sure was for me."", 'overall': 5, 'overallNumeric': 5}",3752,Consulting,200028.0,Consulting,True,Bain & Company,2923,4.6,,Very Satisfied,94,10006.0,Business Services,4.5,https://media.glassdoor.com/sqll/3752/bain-and-company-squarelogo-1481126093417.png,www.bain.com,3.7
1,4.3,"{'name': 'Glenn Cotton', 'title': 'President', 'numberOfRatings': 109, 'pctApprove': 94, 'pctDisapprove': 6, 'image': {'src': 'https://media.glassdoor.com/people/sqll/147915/bath-fitter-ceo1547626595937.png', 'height': 200, 'width': 200}}",4.2,4.4,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Bath-Fitter-RVW30361481.htm', 'id': 30361481, 'currentJob': True, 'reviewDateTime': '2019-11-13 10:54:45.877', 'jobTitle': 'Commercial Sales Consultant', 'location': 'Sacramento, CA', 'jobTitleFromDb': 'Commercial Sales Consultant', 'headline': 'Best company I’ve ever worked for!', 'pros': 'Strongest team environment I’ve ever had the pleasure of being part of , massive amounts of support and best of all the product we offer are amazing!', 'cons': 'The occasional bad seed but there is always one or a few in each company', 'overall': 5, 'overallNumeric': 5}",147915,Other Retail Stores,200115.0,Other Retail Stores,True,Bath Fitter,322,4.4,,Very Satisfied,89,10022.0,Retail,4.3,https://media.glassdoor.com/sqll/147915/bath-fitter-squarelogo-1531768968392.png,www.bathfitter.com,4.0
2,4.0,"{'name': 'Jonathan Lavine and John Connaughton', 'title': 'Co-Managing Partners', 'numberOfRatings': 25, 'pctApprove': 99, 'pctDisapprove': 1}",4.4,4.0,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Bain-Capital-RVW30469344.htm', 'id': 30469344, 'currentJob': False, 'reviewDateTime': '2019-11-19 17:21:07.073', 'jobTitle': 'Vice President', 'location': 'Boston, MA', 'jobTitleFromDb': 'Vice President', 'headline': 'Very enjoyable work environment', 'pros': 'Very thoughtful and collegial environment', 'cons': 'There are some people who are not pulling their weight.', 'overall': 5, 'overallNumeric': 5}",3930,Investment Banking & Asset Management,200053.0,Investment Banking & Asset Management,False,Bain Capital,92,4.1,,Very Satisfied,85,10010.0,Finance,4.2,https://media.glassdoor.com/sqll/3930/bain-capital-squarelogo-1460036021461.png,www.baincapital.com,3.5
3,3.6,"{'name': 'Bill Riss', 'title': 'CEO & Owner', 'numberOfRatings': 22, 'pctApprove': 81, 'pctDisapprove': 19}",3.0,3.8,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Coldwell-Banker-Bain-RVW28937536.htm', 'id': 28937536, 'currentJob': False, 'reviewDateTime': '2019-08-30 01:40:48.45', 'jobTitle': 'Real Estate Broker', 'location': 'Vancouver, WA', 'jobTitleFromDb': 'Real Estate Broker', 'headline': 'One of the best place to work for.', 'pros': ""Great management team.  Offers lots of support to ensure productivity and success of it's broker."", 'cons': 'I felt pressured to do well.', 'overall': 5, 'overallNumeric': 5}",832466,Real Estate,200094.0,Real Estate,False,Coldwell Banker Bain,30,3.8,,Satisfied,74,10020.0,Real Estate,3.8,https://media.glassdoor.com/sqll/832466/coldwell-banker-bain-squarelogo-1561649399375.png,www.coldwellbankerbain.com,3.1
4,3.5,"{'name': 'Alejandro Bernabé', 'title': 'CEO', 'numberOfRatings': 45, 'pctApprove': 89, 'pctDisapprove': 11, 'image': {'src': 'https://media.glassdoor.com/people/sqll/152773/kempinski-hotels-alejandro-bernabé.png', 'height': 200, 'width': 200}}",3.2,3.3,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Kempinski-RVW23161027.htm', 'id': 23161027, 'currentJob': True, 'reviewDateTime': '2018-10-28 18:19:34.693', 'jobTitle': 'Bartender', 'location': 'Geneva, IL', 'jobTitleFromDb': 'Bartender', 'headline': 'Good working place', 'pros': 'International company with possibility to travel anywhere in the world', 'cons': 'Difficult to change between departments', 'overall': 4, 'overallNumeric': 4}",152773,"Hotels, Motels, & Resorts",200140.0,"Hotels, Motels, & Resorts",False,Kempinski,157,3.6,,Satisfied,65,10025.0,Travel & Tourism,3.0,https://media.glassdoor.com/sqll/152773/kempinski-hotels-s-a-squarelogo-1398961582069.png,www.kempinski.com,3.1
5,4.3,"{'name': 'David Heron', 'title': 'CEO', 'numberOfRatings': 7, 'pctApprove': 100, 'pctDisapprove': 0, 'image': {'src': 'https://media.glassdoor.com/people/sqll/758654/wilton-and-bain-ceo1548733179779.png', 'height': 200, 'width': 200}}",4.1,4.3,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Wilton-and-Bain-RVW25476313.htm', 'id': 25476313, 'currentJob': True, 'reviewDateTime': '2019-04-02 14:55:48.42', 'jobTitle': 'Employee', 'location': 'New York, NY', 'headline': 'Great company to work for with lots of opportunity for growth', 'pros': 'Really positive and professional working environment with lots of room for growth. Senior management is really active in building a great company culture and leading by example. Lots of fun company events and team building activities. Definitely a work hard, play hard environment. Shortened hours on Wednesday and Friday.', 'cons': 'Can be long hours but the time tends to fly by. No other cons really. Honestly, a great place to work!', 'overall': 5, 'overallNumeric': 5}",758654,Staffing & Outsourcing,200032.0,Staffing & Outsourcing,False,Wilton & Bain,25,4.3,,Very Satisfied,82,10006.0,Business Services,4.3,https://media.glassdoor.com/sqll/758654/wilton-and-bain-squarelogo-1561468533943.png,www.wilton-bain.com,4.0
6,1.4,"{'name': 'Mark Bain', 'title': 'President', 'numberOfRatings': 2, 'pctApprove': 45, 'pctDisapprove': 55}",1.4,1.5,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Bain-Staffing-Services-RVW8864734.htm', 'id': 8864734, 'currentJob': True, 'reviewDateTime': '2015-12-09 04:43:34.233', 'jobTitle': 'Machine Operator', 'location': 'Smyrna, GA', 'jobTitleFromDb': 'Machine Operator', 'headline': 'warehouse worker', 'pros': 'i like working for Bain they really are friendly people work hour are great new let me down when looking for work', 'cons': ""someone esle say Bain is the wi\\ost places to work for don't pay good and send you to bad places"", 'overall': 5, 'overallNumeric': 5}",845241,Staffing & Outsourcing,200032.0,Staffing & Outsourcing,False,Bain Staffing Services,5,2.0,,Dissatisfied,19,10006.0,Business Services,1.7,,www.bainstaffing.com,1.2
7,3.4,,3.4,4.6,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-LBJ-Foundation-RVW23328846.htm', 'id': 23328846, 'currentJob': True, 'reviewDateTime': '2018-11-08 11:57:25.363', 'jobTitle': 'Employee', 'location': '', 'headline': 'Store Clerk', 'pros': 'Awesome environment. People are always happy and very friendly and helpful no matter what position they are in.', 'cons': ""I can't think of any, I love working here!"", 'overall': 5, 'overallNumeric': 5}",977970,,,,False,LBJ Foundation,5,4.1,,Very Satisfied,100,,,2.9,https://media.glassdoor.com/sqll/977970/lbj-foundation-squarelogo-1505464003930.png,www.lbjlibrary.org,4.6
8,2.9,,2.6,4.2,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Bain-Dental-Group-RVW24884953.htm', 'id': 24884953, 'currentJob': True, 'reviewDateTime': '2019-02-26 06:22:00.517', 'jobTitle': 'Management', 'location': '', 'jobTitleFromDb': 'Management', 'headline': 'Great Company', 'pros': 'Family oriented, great company culture, benefits.', 'cons': 'None that I can think of.', 'overall': 5, 'overallNumeric': 5}",1293213,,,,False,Bain Dental Group,3,3.8,,Satisfied,39,,,3.2,,www.baindentalgroup.com,2.6
9,3.0,,3.0,4.0,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Bain-Dermatology-P-A-RVW24811070.htm', 'id': 24811070, 'currentJob': True, 'reviewDateTime': '2019-02-21 07:01:11.757', 'jobTitle': 'Mohs Histotech', 'location': '', 'jobTitleFromDb': 'Mohs Histotech', 'headline': 'small company', 'pros': 'small, close-knit company and kind doctor,', 'cons': 'unable to fill schedule and no time off. Dr expects you to always be available to his schedule', 'overall': 3, 'overallNumeric': 3}",1068223,,,,False,"Bain Dermatology, P.A",2,2.2,,Dissatisfied,0,,,2.0,,www.baindermatology.com,3.0
