careerOpportunitiesRating,compensationAndBenefitsRating,cultureAndValuesRating,exactMatch,id,industry,industryId,industryName,isEEP,name,numberOfRatings,overallRating,ratingDescription,recommendToFriendRating,sectorId,sectorName,seniorLeadershipRating,squareLogo,website,workLifeBalanceRating,review_URL,review_ID,review_currentJob,review_DateTime,review_jobTitle,review_location,review_pros,review_cons,review_overall,ceo_name,ceo_title,ceo_numberOfRatings,ceo_approval_rate,ceo_Photo_URL,parentEmployer_name,parentEmployer_ID,parentEmployer_logoURL
4.7,4.6,4.7,True,3752,Consulting,200028.0,Consulting,True,Bain & Company,2923,4.6,Very Satisfied,94,10006.0,Business Services,4.5,https://media.glassdoor.com/sqll/3752/bain-and-company-squarelogo-1481126093417.png,www.bain.com,3.7,https://www.glassdoor.com/Reviews/Employee-Review-Bain-and-Company-RVW8190414.htm,8190414.0,True,2015-10-05 18:18:43.377,Manager,"Chicago, IL","Welcome to Bain.  I'm going to give you a problem that neither the CEO nor his entire management team could solve.  And I'm probably going to give you lots of different opinions and imperfect data sources.  And then I'll ask you to focus in on where the most value is and convince all those people with different opinions that you're right.  But don't worry, I'm also going to give you a Bain team.  Those associates and consultants are going to be tenacious in coming up with creative approaches.  Those managers and partners are going to knock down barriers for you, connect you where you need to be connected, guide, support, direct and re-direct you.  The office support staff is going to fix your computer after you spilled coffee on it for the third time, find you the unfindable data source, and smile and hand you a baked good after you ask for help re-doing dozens of slides.  You are empowered and accountable but you are not alone.  And the best part is you can't fail.  Because after all, what all those people are reinforcing is that a Bainie never lets another Bainie fail.","Here's how you know you've made it at Bain.  The reward for doing a good job is getting a bigger, tougher problem next time.  Meaning, you are always solving the easiest problem you will ever solve again.  This takes a lot of resilience and active managing of self-expectations to remember that you are not actually getting worse, the problems are just getting harder.  So my advice is to remember that.  And then take a second to realize that it would be a lot less fun if the reverse were true.  And isn't that precisely why you wanted this job in the first place anyway? It sure was for me.",5.0,Manny Maceda,Worldwide Managing Partner,580.0,99.0,https://media.glassdoor.com/people/sqll/3752/bain-and-company-ceo1560971115626.png,,,
4.3,4.2,4.4,False,147915,Other Retail Stores,200115.0,Other Retail Stores,True,Bath Fitter,322,4.4,Very Satisfied,89,10022.0,Retail,4.3,https://media.glassdoor.com/sqll/147915/bath-fitter-squarelogo-1531768968392.png,www.bathfitter.com,4.0,https://www.glassdoor.com/Reviews/Employee-Review-Bath-Fitter-RVW30361481.htm,30361481.0,True,2019-11-13 10:54:45.877,Commercial Sales Consultant,"Sacramento, CA","Strongest team environment I’ve ever had the pleasure of being part of , massive amounts of support and best of all the product we offer are amazing!",The occasional bad seed but there is always one or a few in each company,5.0,Glenn Cotton,President,109.0,94.0,https://media.glassdoor.com/people/sqll/147915/bath-fitter-ceo1547626595937.png,,,
4.0,4.4,4.0,False,3930,Investment Banking & Asset Management,200053.0,Investment Banking & Asset Management,False,Bain Capital,92,4.1,Very Satisfied,85,10010.0,Finance,4.2,https://media.glassdoor.com/sqll/3930/bain-capital-squarelogo-1460036021461.png,www.baincapital.com,3.5,https://www.glassdoor.com/Reviews/Employee-Review-Bain-Capital-RVW30469344.htm,30469344.0,False,2019-11-19 17:21:07.073,Vice President,"Boston, MA",Very thoughtful and collegial environment,There are some people who are not pulling their weight.,5.0,Jonathan Lavine and John Connaughton,Co-Managing Partners,25.0,99.0,,,,
3.6,3.0,3.8,False,832466,Real Estate,200094.0,Real Estate,False,Coldwell Banker Bain,30,3.8,Satisfied,74,10020.0,Real Estate,3.8,https://media.glassdoor.com/sqll/832466/coldwell-banker-bain-squarelogo-1561649399375.png,www.coldwellbankerbain.com,3.1,https://www.glassdoor.com/Reviews/Employee-Review-Coldwell-Banker-Bain-RVW28937536.htm,28937536.0,False,2019-08-30 01:40:48.45,Real Estate Broker,"Vancouver, WA",Great management team.  Offers lots of support to ensure productivity and success of it's broker.,I felt pressured to do well.,5.0,Bill Riss,CEO & Owner,22.0,81.0,,,,
3.5,3.2,3.3,False,152773,"Hotels, Motels, & Resorts",200140.0,"Hotels, Motels, & Resorts",False,Kempinski,157,3.6,Satisfied,65,10025.0,Travel & Tourism,3.0,https://media.glassdoor.com/sqll/152773/kempinski-hotels-s-a-squarelogo-1398961582069.png,www.kempinski.com,3.1,https://www.glassdoor.com/Reviews/Employee-Review-Kempinski-RVW23161027.htm,23161027.0,True,2018-10-28 18:19:34.693,Bartender,"Geneva, IL",International company with possibility to travel anywhere in the world,Difficult to change between departments,4.0,Alejandro Bernabé,CEO,45.0,89.0,https://media.glassdoor.com/people/sqll/152773/kempinski-hotels-alejandro-bernabé.png,,,
4.3,4.1,4.3,False,758654,Staffing & Outsourcing,200032.0,Staffing & Outsourcing,False,Wilton & Bain,25,4.3,Very Satisfied,82,10006.0,Business Services,4.3,https://media.glassdoor.com/sqll/758654/wilton-and-bain-squarelogo-1561468533943.png,www.wilton-bain.com,4.0,https://www.glassdoor.com/Reviews/Employee-Review-Wilton-and-Bain-RVW25476313.htm,25476313.0,True,2019-04-02 14:55:48.42,Employee,"New York, NY","Really positive and professional working environment with lots of room for growth. Senior management is really active in building a great company culture and leading by example. Lots of fun company events and team building activities. Definitely a work hard, play hard environment. Shortened hours on Wednesday and Friday.","Can be long hours but the time tends to fly by. No other cons really. Honestly, a great place to work!",5.0,David Heron,CEO,7.0,100.0,https://media.glassdoor.com/people/sqll/758654/wilton-and-bain-ceo1548733179779.png,,,
1.4,1.4,1.5,False,845241,Staffing & Outsourcing,200032.0,Staffing & Outsourcing,False,Bain Staffing Services,5,2.0,Dissatisfied,19,10006.0,Business Services,1.7,,www.bainstaffing.com,1.2,https://www.glassdoor.com/Reviews/Employee-Review-Bain-Staffing-Services-RVW8864734.htm,8864734.0,True,2015-12-09 04:43:34.233,Machine Operator,"Smyrna, GA",i like working for Bain they really are friendly people work hour are great new let me down when looking for work,someone esle say Bain is the wi\ost places to work for don't pay good and send you to bad places,5.0,Mark Bain,President,2.0,45.0,,,,
3.4,3.4,4.6,False,977970,,,,False,LBJ Foundation,5,4.1,Very Satisfied,100,,,2.9,https://media.glassdoor.com/sqll/977970/lbj-foundation-squarelogo-1505464003930.png,www.lbjlibrary.org,4.6,https://www.glassdoor.com/Reviews/Employee-Review-LBJ-Foundation-RVW23328846.htm,23328846.0,True,2018-11-08 11:57:25.363,Employee,,Awesome environment. People are always happy and very friendly and helpful no matter what position they are in.,"I can't think of any, I love working here!",5.0,,,,,,,,
2.9,2.6,4.2,False,1293213,,,,False,Bain Dental Group,3,3.8,Satisfied,39,,,3.2,,www.baindentalgroup.com,2.6,https://www.glassdoor.com/Reviews/Employee-Review-Bain-Dental-Group-RVW24884953.htm,24884953.0,True,2019-02-26 06:22:00.517,Management,,"Family oriented, great company culture, benefits.",None that I can think of.,5.0,,,,,,,,
3.0,3.0,4.0,False,1068223,,,,False,"Bain Dermatology, P.A",2,2.2,Dissatisfied,0,,,2.0,,www.baindermatology.com,3.0,https://www.glassdoor.com/Reviews/Employee-Review-Bain-Dermatology-P-A-RVW24811070.htm,24811070.0,True,2019-02-21 07:01:11.757,Mohs Histotech,,"small, close-knit company and kind doctor,",unable to fill schedule and no time off. Dr expects you to always be available to his schedule,3.0,,,,,,,,
