,careerOpportunitiesRating,ceo,compensationAndBenefitsRating,cultureAndValuesRating,exactMatch,featuredReview,id,industry,industryId,industryName,isEEP,name,numberOfRatings,overallRating,parentEmployer,ratingDescription,recommendToFriendRating,sectorId,sectorName,seniorLeadershipRating,squareLogo,website,workLifeBalanceRating
0,2.3,"{'name': 'Ranjit Singh', 'title': 'CEO', 'numberOfRatings': 34, 'pctApprove': 36, 'pctDisapprove': 64, 'image': {'src': 'https://media.glassdoor.com/people/sqll/523766/2-sister-food-group-ranjit-singh.png', 'height': 200, 'width': 200}}",2.1,2.3,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-2-Sisters-Food-Group-RVW20968111.htm', 'id': 20968111, 'currentJob': True, 'reviewDateTime': '2018-06-09 12:19:26.7', 'jobTitle': 'Cashier, Server, Kitchen Help, Prep Cook', 'location': 'Vancorum, CO', 'jobTitleFromDb': 'Cashier, Server, Kitchen Help, Prep Cook', 'headline': 'I want job', 'pros': 'I work in Malaysia Frenchies food..', 'cons': ""I'm helper. I can't cook . I can't cleaning anyway."", 'overall': 5, 'overallNumeric': 5}",523766,Food & Beverage Manufacturing,200071.0,Food & Beverage Manufacturing,False,2 Sisters Food Group,75,2.7,,OK,29,10015.0,Manufacturing,2.3,https://media.glassdoor.com/sqll/523766/2-sister-food-group-squarelogo-1437112433103.png,www.2sfg.com,2.8
0,5.0,,4.4,5.0,True,,1839855,IT Services,200064.0,IT Services,False,2Source Talent,5,4.8,,Very Satisfied,100,10013.0,Information Technology,5.0,https://media.glassdoor.com/sqll/1839855/2source-talent-squarelogo-1508766461080.png,www.2sourcetalent.com,4.4
0,2.9,"{'name': 'Robert Finnegan', 'title': 'CEO', 'numberOfRatings': 61, 'pctApprove': 79, 'pctDisapprove': 21, 'image': {'src': 'https://media.glassdoor.com/people/sqll/39331/3-ireland-robert-finnegan.png', 'height': 200, 'width': 200}}",3.4,3.2,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Three-Ireland-RVW14504223.htm', 'id': 14504223, 'currentJob': False, 'reviewDateTime': '2017-04-05 13:27:03.247', 'jobTitle': 'Employee', 'location': '', 'headline': 'Fraud Analyst', 'pros': 'Great place to work in general', 'cons': 'The Salary could be higher', 'overall': 4, 'overallNumeric': 4}",39331,Telecommunications Services,200122.0,Telecommunications Services,False,Three Ireland,113,3.4,,OK,50,10023.0,Telecommunications,2.9,https://media.glassdoor.com/sqll/39331/3-ireland-squarelogo-1466678081448.png,www.three.ie,3.5
0,3.9,"{'name': 'Nicholas Polley', 'title': 'Managing Director', 'numberOfRatings': 0, 'pctApprove': 0, 'pctDisapprove': 0}",3.9,3.9,True,,2880108,Architectural & Engineering Services,200023.0,Architectural & Engineering Services,False,3D Design Bureau,3,3.9,,Satisfied,72,10006.0,Business Services,3.9,https://media.glassdoor.com/sqll/2880108/3d-design-bureau-squarelogo-1572448985835.png,www.3ddesignbureau.com,3.9
0,2.7,"{'name': 'Damian Doherty', 'title': 'Owner', 'numberOfRatings': 4, 'pctApprove': 76, 'pctDisapprove': 24}",2.8,2.8,True,,1193024,Staffing & Outsourcing,200032.0,Staffing & Outsourcing,False,3D Personnel,7,3.2,,OK,58,10006.0,Business Services,3.3,https://media.glassdoor.com/sqll/1193024/3d-personnel-squarelogo-1556273317521.png,www.3dpersonnel.com,2.9
0,5.0,,5.0,5.0,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-AAT-Technology-RVW9355508.htm', 'id': 9355508, 'currentJob': True, 'reviewDateTime': '2016-01-27 09:58:58.567', 'jobTitle': 'Owner & Operator', 'location': 'Baton Rouge, LA', 'jobTitleFromDb': 'Owner & Operator', 'headline': 'AAT Technology is one of the top hybrid component and hardware supply chain solution companies in the southeast.', 'pros': 'I had a big interest in product that was supplied so it made the experience fun and fulfilling. Having flexible hours and having control of what you made each month kept it competitive and help motivate myself ands everyone around me to thrive to do better.', 'cons': ""It is a technology company, So the technology tools we used weren't as up-to-par as I believe the staff would have liked them to be. Examples are our system servers were slower when we were handling heavier call volume and couldn't keep up with the demand from our end-users. In a industry that is always racing the clock. Our slower technology made our customer service suffer from time to time. We never wanted a customer to be inconvenienced or felt like they had to wait for our services."", 'overall': 5, 'overallNumeric': 5}",1169343,,,,False,AAT Technology,1,5.0,,Very Satisfied,100,,,5.0,,www.aattech.com,5.0
0,3.5,"{'name': 'Peter Voser', 'title': 'Interim President and Chief Executive Officer', 'numberOfRatings': 178, 'pctApprove': 87, 'pctDisapprove': 13}",3.5,3.7,True,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-ABB-RVW30171984.htm', 'id': 30171984, 'currentJob': True, 'reviewDateTime': '2019-11-03 17:40:20.323', 'jobTitle': 'Electrical Engineer', 'location': 'Jacksonville, FL', 'jobTitleFromDb': 'Electrical Engineer', 'headline': 'Electrical engineer', 'pros': 'good, authentic, realistic, excellent awesome', 'cons': 'nothing bad from my end', 'overall': 5, 'overallNumeric': 5}",3076,Electrical & Electronic Manufacturing,200070.0,Electrical & Electronic Manufacturing,True,ABB,3758,3.7,,Satisfied,77,10015.0,Manufacturing,3.2,https://media.glassdoor.com/sqll/3076/abb-squarelogo-1511427157874.png,www.abb.com,3.7
1,2.8,"{'name': 'Peter Voser', 'title': 'ABB Global CEO', 'numberOfRatings': 5, 'pctApprove': 63, 'pctDisapprove': 37}",3.5,3.0,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-ABB-Motors-and-Mechanical-Inc-RVW29029545.htm', 'id': 29029545, 'currentJob': False, 'reviewDateTime': '2019-09-04 13:03:15.307', 'jobTitle': 'Maintenance Technician', 'location': 'Ozark, AR', 'jobTitleFromDb': 'Maintenance Technician', 'headline': 'Good company', 'pros': 'Nice company to work for.  Everything was well orga6and professional', 'cons': 'The work was not fast paced enough for me', 'overall': 5, 'overallNumeric': 5}",73,Electrical & Electronic Manufacturing,200070.0,Electrical & Electronic Manufacturing,False,"ABB Motors and Mechanical, Inc.",166,3.0,"{'id': 3076, 'name': 'ABB', 'relationshipDate': '2011-01-31 00:00:00.0', 'relationship': 'ACQUIREDBY', 'isSunset': False, 'sunsetMessage': '', 'logo': {'normalUrl': 'https://media.glassdoor.com/sql/3076/abb-squarelogo-1511427157874.png', 'mediumUrl': 'https://media.glassdoor.com/sqlm/3076/abb-squarelogo-1511427157874.png', 'smallUrl': 'https://media.glassdoor.com/sqls/3076/abb-squarelogo-1511427157874.png'}}",OK,53,10015.0,Manufacturing,2.8,https://media.glassdoor.com/sqll/73/baldor-electric-squarelogo-1538583734999.png,baldor.abb.com,3.1
2,2.9,"{'name': 'Thomas Burke', 'title': 'CEO', 'numberOfRatings': 3, 'pctApprove': 49, 'pctDisapprove': 51}",3.2,3.1,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-ABB-Optical-Group-RVW30239483.htm', 'id': 30239483, 'currentJob': True, 'reviewDateTime': '2019-11-06 15:58:36.873', 'jobTitle': 'Customer Service Representative', 'location': '', 'jobTitleFromDb': 'Customer Service Representative', 'headline': 'Great Environment', 'pros': 'Training Bonus and Friendly Staff', 'cons': 'Horrible parking and Learning product codes', 'overall': 4, 'overallNumeric': 4}",485895,Wholesale,200033.0,Wholesale,False,ABB Optical Group,107,3.1,,OK,48,10006.0,Business Services,2.9,https://media.glassdoor.com/sqll/485895/abb-concise-optical-group-squarelogo-1424957574841.png,www.abboptical.com,3.2
3,3.3,,3.9,3.9,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-ABB-Consultant-RVW3378519.htm', 'id': 3378519, 'currentJob': True, 'reviewDateTime': '2013-12-03 07:03:36.28', 'jobTitle': 'Human Resource Manager', 'location': '', 'jobTitleFromDb': 'Human Resource Manager', 'headline': 'Motivating and Job sanctification, recruiting and staffing;\r\norganizational departmental planning', 'pros': 'Good salary and incentive, performance management and improvement systems;\r\norganization development;', 'cons': 'Be ready to be transfer to any country', 'overall': 5, 'overallNumeric': 5}",748075,Consulting,200028.0,Consulting,False,ABB Consultant,4,3.9,,Satisfied,100,10006.0,Business Services,3.5,,www.abb-consultant.com,3.6
4,1.0,,1.0,1.0,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Sobetronic-RVW30107861.htm', 'id': 30107861, 'currentJob': False, 'reviewDateTime': '2019-10-30 13:25:09.86', 'jobTitle': 'Sales', 'location': 'Miami Beach, FL', 'jobTitleFromDb': 'Sales', 'headline': 'The worst', 'pros': 'Absolutamente nada\r\nAbsolutely nothing\r\nNothing nothing nothing', 'cons': 'Everything.  Scheduling, inventory, over work you, BROKEN PROMISES, only want cheap labor', 'overall': 1, 'overallNumeric': 1}",2406693,Consumer Electronics & Appliances Stores,200103.0,Consumer Electronics & Appliances Stores,False,Sobetronic,1,1.0,,Very Dissatisfied,0,10022.0,Retail,1.0,,www.sobetronic.com,1.0
5,5.0,,5.0,5.0,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-ABB-Tropos-Wireless-Communication-Systems-RVW13797748.htm', 'id': 13797748, 'currentJob': False, 'reviewDateTime': '2017-02-15 15:59:48.18', 'jobTitle': 'Intern', 'location': 'San Jose, CA', 'jobTitleFromDb': 'Intern', 'headline': 'Good Experience', 'pros': 'a Challenging but friendly environment.', 'cons': 'Some of the projects are experimental', 'overall': 5, 'overallNumeric': 5}",908157,Health Care Services & Hospitals,200059.0,Health Care Services & Hospitals,False,ABB Tropos Wireless Communication Systems,1,5.0,,Very Satisfied,100,10012.0,Health Care,5.0,,www.tropos.com,5.0
6,3.6,,3.6,3.8,False,,2827720,,,,False,ABB no Brasil,6,3.5,,Satisfied,100,,,0.0,,https:new.abb.combr,4.2
7,2.8,,3.8,3.3,False,,2838069,,,,False,Abb do Brasil,4,3.5,,Satisfied,75,,,4.0,,https:new.abb.combr,3.5
8,3.5,,4.4,4.4,False,,2733353,,,,False,ABB Group,3,4.4,,Very Satisfied,100,,,3.0,,apwmexico.com,4.6
9,1.3,,1.0,1.0,False,,2644329,,,,False,ABB InformÃ¡tica,3,1.6,,Dissatisfied,0,,,0.0,,www.abbnet.com.br,1.0
0,3.3,"{'name': 'Rehan A Khan', 'title': 'Managing Director and Executive Director', 'numberOfRatings': 140, 'pctApprove': 90, 'pctDisapprove': 10, 'image': {'src': 'https://media.glassdoor.com/people/sqll/503114/abbott-rehan-a-khan.png', 'height': 199, 'width': 200}}",3.7,3.5,True,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Abbott-RVW30318280.htm', 'id': 30318280, 'currentJob': True, 'reviewDateTime': '2019-11-11 11:21:22.527', 'jobTitle': 'Clinical Specialist', 'location': 'Iowa City, IA', 'jobTitleFromDb': 'Clinical Specialist', 'headline': 'Great field but under payed', 'pros': 'Very rewarding field to be in.', 'cons': 'Company undervalues their employees and provides a difficult work life balance.', 'overall': 4, 'overallNumeric': 4}",503114,Biotech & Pharmaceuticals,200021.0,Biotech & Pharmaceuticals,False,Abbott,685,3.6,"{'id': 12, 'name': 'Abbott Laboratories', 'relationshipDate': '', 'relationship': 'SUBSIDIARYOF', 'isSunset': False, 'sunsetMessage': '', 'logo': {'normalUrl': 'https://media.glassdoor.com/sql/12/abbott-labs-squarelogo-1565893738506.png', 'mediumUrl': 'https://media.glassdoor.com/sqlm/12/abbott-labs-squarelogo-1565893738506.png', 'smallUrl': 'https://media.glassdoor.com/sqls/12/abbott-labs-squarelogo-1565893738506.png'}}",Satisfied,69,10005.0,Biotech & Pharmaceuticals,3.1,https://media.glassdoor.com/sqll/503114/abbott-squarelogo.png,www.abbott.com,3.5
1,1.5,,1.5,1.9,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Abbott-and-Abbott-P-C-RVW16204972.htm', 'id': 16204972, 'currentJob': False, 'reviewDateTime': '2017-08-03 14:53:57.293', 'jobTitle': 'Employee', 'location': '', 'headline': 'Temporary position. Limmitted experience with this firm.', 'pros': 'You get to work with a large variety of case types, from administrative issues to environmental litigation.', 'cons': ""It's a small firm, which doesn't provide a lot of opportunity for mobility within the firm."", 'overall': 3, 'overallNumeric': 3}",1259725,,,,False,"Abbott & Abbott, P.C",3,2.3,,Dissatisfied,46,,,1.0,https://media.glassdoor.com/sqll/1259725/abbott-and-abbott-p-c-squarelogo-1498819565209.png,www.abbottandabbott.net,1.5
2,3.3,"{'name': 'Miles D. White', 'title': 'Chairman and CEO', 'numberOfRatings': 915, 'pctApprove': 82, 'pctDisapprove': 18, 'image': {'src': 'https://media.glassdoor.com/people/sqll/12/abbott-labs-miles-d-white.png', 'height': 200, 'width': 200}}",3.7,3.5,False,"{'attributionURL': 'https://www.glassdoor.com/Reviews/Employee-Review-Abbott-Laboratories-RVW30506163.htm', 'id': 30506163, 'currentJob': True, 'reviewDateTime': '2019-11-21 10:09:29.507', 'jobTitle': 'Procurement Specialist', 'location': 'Waltham, MA', 'jobTitleFromDb': 'Procurement Specialist', 'headline': 'Procurement Specialist', 'pros': 'Great place to grow and earn experience', 'cons': 'It is too big, difficult to navigate within the organization', 'overall': 5, 'overallNumeric': 5}",12,Health Care Services & Hospitals,200059.0,Health Care Services & Hospitals,False,Abbott Laboratories,1962,3.6,,Satisfied,68,10012.0,Health Care,3.0,https://media.glassdoor.com/sqll/12/abbott-labs-squarelogo-1565893738506.png,www.abbott.com,3.2
